experiment_id,name,n_measurements,n_subjects,n_tissues,mean_dice,std_dice,min_dice,max_dice,mean_hausdorff,std_hausdorff
0,exp_00_baseline_none,100,20,5,0.625732031267223,0.14704512219990476,0.3428797826579126,0.8232700001656935,12.077619785639502,3.1226751854026173
1,exp_01_normalization_only,100,20,5,0.5833380036067783,0.17108996166659357,0.2540315274506251,0.8397472408773844,12.416642130786927,2.397289760535253
2,exp_02_skullstrip_only,100,20,5,0.6258692722922397,0.15506462297291052,0.3114466031431753,0.8568957934035294,8.300142097720054,4.631159806965782
3,exp_03_registration_only,100,20,5,0.6546083100266152,0.12212263311211793,0.4141583054626533,0.8204193254329991,12.226949760742166,2.818102118143904
4,exp_04_norm_skull,100,20,5,0.5509223655499823,0.16373633493387096,0.2113260888771093,0.7788341800350745,10.289289670054854,3.659305683555615
5,exp_05_norm_reg,100,20,5,0.618933904128497,0.15448859100541917,0.394093839004647,0.8319161012313544,11.758615335214522,1.9987409533148388
6,exp_06_reg_skull,100,20,5,0.6567036289775152,0.12661473878651477,0.4189799543263131,0.8481254684800509,7.925936946444641,4.3057546981898325
7,exp_07_all_preprocessing,100,20,5,0.6195036634738227,0.13234451527229155,0.393374409858366,0.7961088410104011,7.640146615894386,3.9202244435284
8,exp_08_all_preprocessing_postprocessing,100,20,5,0.6109771476828292,0.13962338689751022,0.3782554471425427,0.8049637087333177,7.803917642862449,3.5901071604368853
9,exp_09_baseline_none_with_post,100,20,5,0.6126460846540916,0.15164322867827526,0.3000073857061966,0.8265217050414239,12.0016676711925,3.2557599896572254
10,exp_10_normalization_only_with_post,100,20,5,0.5661402011024316,0.17924557247381795,0.2340319820400051,0.8384466884785063,12.233962847676061,2.5377456613462726
11,exp_11_skullstrip_only_with_post,100,20,5,0.6184087852574587,0.159147505516664,0.2654817987152034,0.8537638123548623,8.092196597384607,4.52618539492993
12,exp_12_registration_only_with_post,100,20,5,0.6456581952162059,0.12587454329200612,0.3923130111346892,0.8207504867262956,11.806545508727654,3.188335482715528
13,exp_13_norm_skull_with_post,100,20,5,0.5346928101928344,0.17190229052489453,0.2145482519873493,0.7774995931414973,10.48302752919634,3.6119432196688352
14,exp_14_norm_reg_with_post,100,20,5,0.6126088118959345,0.15711449864951096,0.3628972152584863,0.8345551721271649,11.093796151989658,2.297321687987879
15,exp_15_reg_skull_with_post,100,20,5,0.6459902742538068,0.13201329645303822,0.3751671615403794,0.8462251772483843,7.827865540671662,4.0465443377238755
16,exp_16_all_preprocessing_with_post,100,20,5,0.6079975368064289,0.1423477229089719,0.3619155247916372,0.8011458915595304,7.811929904957991,3.7220627560565163
17,exp_17_all_preprocessing_postprocessing_with_post,100,20,5,0.6048911651132575,0.14329007860422127,0.3614609571788413,0.7995292271479011,7.936223154274885,3.766478732921664
