LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4769027245848573
Amygdala;DICE;STD;0.0824282464596564
Amygdala;HDRFDST;MEAN;25.733115952702878
Amygdala;HDRFDST;STD;11.768888790567644
GreyMatter;DICE;MEAN;0.6819586601854903
GreyMatter;DICE;STD;0.029845834976017456
GreyMatter;HDRFDST;MEAN;12.225109598348471
GreyMatter;HDRFDST;STD;2.616619060613924
Hippocampus;DICE;MEAN;0.44159715237890385
Hippocampus;DICE;STD;0.06284482637755359
Hippocampus;HDRFDST;MEAN;14.681889675541914
Hippocampus;HDRFDST;STD;1.8820508907082767
Thalamus;DICE;MEAN;0.7036448423491322
Thalamus;DICE;STD;0.10212252902911637
Thalamus;HDRFDST;MEAN;14.563622138564963
Thalamus;HDRFDST;STD;13.137766560762923
WhiteMatter;DICE;MEAN;0.7875711579138401
WhiteMatter;DICE;STD;0.036694889921403545
WhiteMatter;HDRFDST;MEAN;15.55316439985043
WhiteMatter;HDRFDST;STD;2.828263981884493
