LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.39918511127896683
Amygdala;DICE;STD;0.08025821629236335
Amygdala;HDRFDST;MEAN;14.648335855008508
Amygdala;HDRFDST;STD;1.4581689473007098
GreyMatter;DICE;MEAN;0.6384209680615299
GreyMatter;DICE;STD;0.03971285087609796
GreyMatter;HDRFDST;MEAN;12.323047274612561
GreyMatter;HDRFDST;STD;2.4784079300357105
Hippocampus;DICE;MEAN;0.37098302423001783
Hippocampus;DICE;STD;0.05115411224712228
Hippocampus;HDRFDST;MEAN;13.827698718502711
Hippocampus;HDRFDST;STD;2.0723774150280967
Thalamus;DICE;MEAN;0.6811129578401287
Thalamus;DICE;STD;0.09234355915587729
Thalamus;HDRFDST;MEAN;10.647504348987423
Thalamus;HDRFDST;STD;2.594349848862696
WhiteMatter;DICE;MEAN;0.7942772971003069
WhiteMatter;DICE;STD;0.02312862487142617
WhiteMatter;HDRFDST;MEAN;14.23463500269755
WhiteMatter;HDRFDST;STD;3.4022296130593084
