LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4789207578549656
Amygdala;DICE;STD;0.08106392368155517
Amygdala;HDRFDST;MEAN;18.38677625512077
Amygdala;HDRFDST;STD;5.081973922023522
GreyMatter;DICE;MEAN;0.6813639627282055
GreyMatter;DICE;STD;0.0298844020579109
GreyMatter;HDRFDST;MEAN;12.25090837899307
GreyMatter;HDRFDST;STD;2.648630568712324
Hippocampus;DICE;MEAN;0.44027004628749655
Hippocampus;DICE;STD;0.06330239728759932
Hippocampus;HDRFDST;MEAN;14.947778307493635
Hippocampus;HDRFDST;STD;2.0649270374574087
Thalamus;DICE;MEAN;0.7031930058016218
Thalamus;DICE;STD;0.10220479269557121
Thalamus;HDRFDST;MEAN;14.923308402028928
Thalamus;HDRFDST;STD;12.99210784814892
WhiteMatter;DICE;MEAN;0.7879879885810938
WhiteMatter;DICE;STD;0.03692762251014021
WhiteMatter;HDRFDST;MEAN;15.36053194493831
WhiteMatter;HDRFDST;STD;2.872987707688574
