LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.43957075182738725
Amygdala;DICE;STD;0.05317083132329458
Amygdala;HDRFDST;MEAN;16.98862346648096
Amygdala;HDRFDST;STD;2.7724849348792753
GreyMatter;DICE;MEAN;0.6851170538416047
GreyMatter;DICE;STD;0.049388346796141465
GreyMatter;HDRFDST;MEAN;12.20465316110806
GreyMatter;HDRFDST;STD;2.6165705067998872
Hippocampus;DICE;MEAN;0.44792184554230047
Hippocampus;DICE;STD;0.059559571563539845
Hippocampus;HDRFDST;MEAN;14.862750684549022
Hippocampus;HDRFDST;STD;1.7025398934937106
Thalamus;DICE;MEAN;0.6986631952876708
Thalamus;DICE;STD;0.09355996590161623
Thalamus;HDRFDST;MEAN;13.970204587902558
Thalamus;HDRFDST;STD;7.4587789732734615
WhiteMatter;DICE;MEAN;0.7974104130345527
WhiteMatter;DICE;STD;0.05532243497414179
WhiteMatter;HDRFDST;MEAN;16.002296031977068
WhiteMatter;HDRFDST;STD;3.3356441214510535
