LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5273270486662301
Amygdala;DICE;STD;0.048166802421960066
Amygdala;HDRFDST;MEAN;14.951677159592148
Amygdala;HDRFDST;STD;4.259970670712475
GreyMatter;DICE;MEAN;0.669629478090183
GreyMatter;DICE;STD;0.024377987756760915
GreyMatter;HDRFDST;MEAN;13.00781631830804
GreyMatter;HDRFDST;STD;2.0485884479707406
Hippocampus;DICE;MEAN;0.5201873629426915
Hippocampus;DICE;STD;0.03327756485630747
Hippocampus;HDRFDST;MEAN;15.124533995911264
Hippocampus;HDRFDST;STD;3.0900600975587067
Thalamus;DICE;MEAN;0.7533457819840328
Thalamus;DICE;STD;0.033416805423329574
Thalamus;HDRFDST;MEAN;17.194647925811534
Thalamus;HDRFDST;STD;15.951303479884801
WhiteMatter;DICE;MEAN;0.7791059118486601
WhiteMatter;DICE;STD;0.03701638451611297
WhiteMatter;HDRFDST;MEAN;16.700754938482056
WhiteMatter;HDRFDST;STD;2.9128653392780004
