LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5197657079161067
Amygdala;DICE;STD;0.039971565383612094
Amygdala;HDRFDST;MEAN;11.870887005816353
Amygdala;HDRFDST;STD;1.2173913483923247
GreyMatter;DICE;MEAN;0.721972605884867
GreyMatter;DICE;STD;0.010436408419848086
GreyMatter;HDRFDST;MEAN;2.0708203932499365
GreyMatter;HDRFDST;STD;0.1081799376047919
Hippocampus;DICE;MEAN;0.5500492664007668
Hippocampus;DICE;STD;0.015793645611384185
Hippocampus;HDRFDST;MEAN;11.64301781628129
Hippocampus;HDRFDST;STD;0.9696061725033059
Thalamus;DICE;MEAN;0.7597625430470434
Thalamus;DICE;STD;0.021529944749484935
Thalamus;HDRFDST;MEAN;15.34470496347549
Thalamus;HDRFDST;STD;0.9695512280899548
WhiteMatter;DICE;MEAN;0.826378521762801
WhiteMatter;DICE;STD;0.017968013925814066
WhiteMatter;HDRFDST;MEAN;2.592089191705049
WhiteMatter;HDRFDST;STD;0.2847343011403228
