LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.507463187913771
Amygdala;DICE;STD;0.04100009224658983
Amygdala;HDRFDST;MEAN;11.737385779504061
Amygdala;HDRFDST;STD;1.2181030593081463
GreyMatter;DICE;MEAN;0.6999418093351373
GreyMatter;DICE;STD;0.02434095938372637
GreyMatter;HDRFDST;MEAN;2.897779446056243
GreyMatter;HDRFDST;STD;0.8383759789104016
Hippocampus;DICE;MEAN;0.5383171836280873
Hippocampus;DICE;STD;0.02241648688941638
Hippocampus;HDRFDST;MEAN;11.479638176201176
Hippocampus;HDRFDST;STD;0.9838228211952041
Thalamus;DICE;MEAN;0.7537069099656064
Thalamus;DICE;STD;0.023196582423253245
Thalamus;HDRFDST;MEAN;14.478390239835687
Thalamus;HDRFDST;STD;2.006543312024622
WhiteMatter;DICE;MEAN;0.8289237696496162
WhiteMatter;DICE;STD;0.0158359053536569
WhiteMatter;HDRFDST;MEAN;2.5909568810942285
WhiteMatter;HDRFDST;STD;0.29486003511915254
