LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.47494225976533466
Amygdala;DICE;STD;0.08609548740479236
Amygdala;HDRFDST;MEAN;25.590175698180882
Amygdala;HDRFDST;STD;12.889643429367334
GreyMatter;DICE;MEAN;0.661951379871786
GreyMatter;DICE;STD;0.034122366202693634
GreyMatter;HDRFDST;MEAN;12.234963860270097
GreyMatter;HDRFDST;STD;2.6373584014852196
Hippocampus;DICE;MEAN;0.42574715870866997
Hippocampus;DICE;STD;0.06775628854533984
Hippocampus;HDRFDST;MEAN;14.336617239894988
Hippocampus;HDRFDST;STD;1.913480106179765
Thalamus;DICE;MEAN;0.6981726706507717
Thalamus;DICE;STD;0.09850108433472839
Thalamus;HDRFDST;MEAN;13.85801831690693
Thalamus;HDRFDST;STD;13.251616064777613
WhiteMatter;DICE;MEAN;0.7916580582292102
WhiteMatter;DICE;STD;0.033822132041756894
WhiteMatter;HDRFDST;MEAN;14.853696291262612
WhiteMatter;HDRFDST;STD;3.6630187669368257
