LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3900930244293984
Amygdala;DICE;STD;0.08105829713978471
Amygdala;HDRFDST;MEAN;13.900979044431153
Amygdala;HDRFDST;STD;1.600869015967869
GreyMatter;DICE;MEAN;0.6172116089853177
GreyMatter;DICE;STD;0.04366292300997276
GreyMatter;HDRFDST;MEAN;12.55419662190113
GreyMatter;HDRFDST;STD;2.7462969938894406
Hippocampus;DICE;MEAN;0.35514933883794153
Hippocampus;DICE;STD;0.05376399888751353
Hippocampus;HDRFDST;MEAN;13.869931752423426
Hippocampus;HDRFDST;STD;2.1851757785396497
Thalamus;DICE;MEAN;0.6746806935571515
Thalamus;DICE;STD;0.09049377811405077
Thalamus;HDRFDST;MEAN;10.399246495299094
Thalamus;HDRFDST;STD;2.838251632609322
WhiteMatter;DICE;MEAN;0.7940361276566221
WhiteMatter;DICE;STD;0.025002874910364698
WhiteMatter;HDRFDST;MEAN;13.965691323243002
WhiteMatter;HDRFDST;STD;3.8806527626025953
