LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4750676609659415
Amygdala;DICE;STD;0.0847332435701371
Amygdala;HDRFDST;MEAN;18.54568761675616
Amygdala;HDRFDST;STD;6.678882453052843
GreyMatter;DICE;MEAN;0.6612661050456007
GreyMatter;DICE;STD;0.034355363899443485
GreyMatter;HDRFDST;MEAN;12.253904785695081
GreyMatter;HDRFDST;STD;2.6630466580815284
Hippocampus;DICE;MEAN;0.424004577249468
Hippocampus;DICE;STD;0.06791042281821467
Hippocampus;HDRFDST;MEAN;14.750266925065395
Hippocampus;HDRFDST;STD;2.116512612606388
Thalamus;DICE;MEAN;0.6979777780869664
Thalamus;DICE;STD;0.09838722059958334
Thalamus;HDRFDST;MEAN;14.22109276627786
Thalamus;HDRFDST;STD;13.179928699842025
WhiteMatter;DICE;MEAN;0.7918213659839364
WhiteMatter;DICE;STD;0.03417794196141848
WhiteMatter;HDRFDST;MEAN;14.682188275823895
WhiteMatter;HDRFDST;STD;3.712593087487416
