LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4330258301565477
Amygdala;DICE;STD;0.05224561073050786
Amygdala;HDRFDST;MEAN;16.121438697765978
Amygdala;HDRFDST;STD;3.033020658382277
GreyMatter;DICE;MEAN;0.6609212900143501
GreyMatter;DICE;STD;0.04938219448568328
GreyMatter;HDRFDST;MEAN;12.314085003944307
GreyMatter;HDRFDST;STD;2.900570722398258
Hippocampus;DICE;MEAN;0.43243729074050385
Hippocampus;DICE;STD;0.06374846505504703
Hippocampus;HDRFDST;MEAN;14.46681831795706
Hippocampus;HDRFDST;STD;1.8738110244157442
Thalamus;DICE;MEAN;0.6947994332668537
Thalamus;DICE;STD;0.08705574365250113
Thalamus;HDRFDST;MEAN;13.447019336446193
Thalamus;HDRFDST;STD;7.1573508342991135
WhiteMatter;DICE;MEAN;0.7957851684893135
WhiteMatter;DICE;STD;0.06789000597655263
WhiteMatter;HDRFDST;MEAN;15.286554550495074
WhiteMatter;HDRFDST;STD;4.315234637275062
