LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4893093811411794
Amygdala;DICE;STD;0.07868697753343913
Amygdala;HDRFDST;MEAN;14.793816088916548
Amygdala;HDRFDST;STD;1.8420112723091067
GreyMatter;DICE;MEAN;0.6942042888116278
GreyMatter;DICE;STD;0.028974144054930723
GreyMatter;HDRFDST;MEAN;3.3156291223006717
GreyMatter;HDRFDST;STD;1.380798147214747
Hippocampus;DICE;MEAN;0.41076594501634955
Hippocampus;DICE;STD;0.06386900569286591
Hippocampus;HDRFDST;MEAN;14.592267152340943
Hippocampus;HDRFDST;STD;2.2947198858927167
Thalamus;DICE;MEAN;0.6926792642228305
Thalamus;DICE;STD;0.09767889958854374
Thalamus;HDRFDST;MEAN;8.664188464512772
Thalamus;HDRFDST;STD;2.032692365165916
WhiteMatter;DICE;MEAN;0.812645484320563
WhiteMatter;DICE;STD;0.03579294689814744
WhiteMatter;HDRFDST;MEAN;3.390301034366348
WhiteMatter;HDRFDST;STD;0.9776803651370284
