LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5185638238838061
Amygdala;DICE;STD;0.050176180492861946
Amygdala;HDRFDST;MEAN;14.117194568845804
Amygdala;HDRFDST;STD;3.6475769361797665
GreyMatter;DICE;MEAN;0.6554672595340552
GreyMatter;DICE;STD;0.026174064938070524
GreyMatter;HDRFDST;MEAN;13.052634939358395
GreyMatter;HDRFDST;STD;2.092539399829887
Hippocampus;DICE;MEAN;0.5073737310895772
Hippocampus;DICE;STD;0.0373358319031473
Hippocampus;HDRFDST;MEAN;14.180808961294312
Hippocampus;HDRFDST;STD;2.9418798757384534
Thalamus;DICE;MEAN;0.7486392047711642
Thalamus;DICE;STD;0.032483456171454955
Thalamus;HDRFDST;MEAN;14.741429284773996
Thalamus;HDRFDST;STD;16.315338263180678
WhiteMatter;DICE;MEAN;0.7831566178592253
WhiteMatter;DICE;STD;0.03448374482404021
WhiteMatter;HDRFDST;MEAN;16.135619157864944
WhiteMatter;HDRFDST;STD;3.4193265992504807
