experiment_id,name,description,timestamp,status,duration_seconds,config_file,results_dir
exp_00_baseline_none,baseline_none,Baseline without any preprocessing,2025-11-03T21:53:20.192670,completed,218.612111,./ablation_experiments/exp_00_baseline_none/config.json,./ablation_experiments/exp_00_baseline_none
exp_01_normalization_only,normalization_only,With normalization only (no bias correction),2025-11-03T21:56:46.757470,completed,187.264483,./ablation_experiments/exp_01_normalization_only/config.json,./ablation_experiments/exp_01_normalization_only
exp_02_bias_correction_only,bias_correction_only,With bias correction only (no normalization),2025-11-03T21:59:58.941710,completed,567.237981,./ablation_experiments/exp_02_bias_correction_only/config.json,./ablation_experiments/exp_02_bias_correction_only
exp_03_normalization_bias,normalization_bias,With normalization + bias correction together,2025-11-03T22:35:53.211072,completed,564.704213,./ablation_experiments/exp_03_normalization_bias/config.json,./ablation_experiments/exp_03_normalization_bias
exp_04_skullstrip_only,skullstrip_only,With skull stripping only,2025-11-03T22:45:12.974259,completed,164.240121,./ablation_experiments/exp_04_skullstrip_only/config.json,./ablation_experiments/exp_04_skullstrip_only
exp_05_registration_only,registration_only,With registration only,2025-11-03T22:48:09.707314,completed,260.024142,./ablation_experiments/exp_05_registration_only/config.json,./ablation_experiments/exp_05_registration_only
exp_06_all_preprocessing,all_preprocessing,With normalization + bias correction + skull stripping + registration,2025-11-03T22:52:29.895375,completed,646.943699,./ablation_experiments/exp_06_all_preprocessing/config.json,./ablation_experiments/exp_06_all_preprocessing
exp_07_all_preprocessing_postprocessing,all_preprocessing_postprocessing,With all preprocessing + postprocessing,2025-11-03T23:03:00.737512,completed,709.498296,./ablation_experiments/exp_07_all_preprocessing_postprocessing/config.json,./ablation_experiments/exp_07_all_preprocessing_postprocessing
exp_08_baseline_none_with_post,baseline_none_with_post,Baseline without any preprocessing + optimal postprocessing,2025-11-03T23:14:31.284358,completed,264.097102,./ablation_experiments/exp_08_baseline_none_with_post/config.json,./ablation_experiments/exp_08_baseline_none_with_post
exp_09_normalization_only_with_post,normalization_only_with_post,With normalization only (no bias correction) + optimal postprocessing,2025-11-09T15:16:12.010926,completed,258.305828,./ablation_experiments/exp_09_normalization_only_with_post/config.json,./ablation_experiments/exp_09_normalization_only_with_post
exp_10_bias_correction_only_with_post,bias_correction_only_with_post,With bias correction only (no normalization) + optimal postprocessing,2025-11-09T15:20:30.321045,completed,643.590419,./ablation_experiments/exp_10_bias_correction_only_with_post/config.json,./ablation_experiments/exp_10_bias_correction_only_with_post
exp_11_normalization_bias_with_post,normalization_bias_with_post,With normalization + bias correction together + optimal postprocessing,2025-11-09T15:31:15.761708,completed,636.997088,./ablation_experiments/exp_11_normalization_bias_with_post/config.json,./ablation_experiments/exp_11_normalization_bias_with_post
exp_12_skullstrip_only_with_post,skullstrip_only_with_post,With skull stripping only + optimal postprocessing,2025-11-09T15:41:52.762359,completed,214.569946,./ablation_experiments/exp_12_skullstrip_only_with_post/config.json,./ablation_experiments/exp_12_skullstrip_only_with_post
exp_13_registration_only_with_post,registration_only_with_post,With registration only + optimal postprocessing,2025-11-09T15:45:27.336032,completed,340.800165,./ablation_experiments/exp_13_registration_only_with_post/config.json,./ablation_experiments/exp_13_registration_only_with_post
exp_14_all_preprocessing_with_post,all_preprocessing_with_post,With normalization + bias correction + skull stripping + registration + optimal postprocessing,2025-11-09T15:51:08.139892,completed,706.080763,./ablation_experiments/exp_14_all_preprocessing_with_post/config.json,./ablation_experiments/exp_14_all_preprocessing_with_post
exp_15_all_preprocessing_postprocessing_with_post,all_preprocessing_postprocessing_with_post,With all preprocessing + postprocessing + optimal postprocessing,2025-11-09T16:02:54.225009,completed,705.601985,./ablation_experiments/exp_15_all_preprocessing_postprocessing_with_post/config.json,./ablation_experiments/exp_15_all_preprocessing_postprocessing_with_post
