LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.48295308600390774
Amygdala;DICE;STD;0.05938047098736323
Amygdala;HDRFDST;MEAN;12.174574704242406
Amygdala;HDRFDST;STD;2.231531037386877
GreyMatter;DICE;MEAN;0.6103200927473986
GreyMatter;DICE;STD;0.016965682843563465
GreyMatter;HDRFDST;MEAN;3.7207121452571696
GreyMatter;HDRFDST;STD;0.3953493798348358
Hippocampus;DICE;MEAN;0.5400428932201979
Hippocampus;DICE;STD;0.06601880871167023
Hippocampus;HDRFDST;MEAN;11.62601348165504
Hippocampus;HDRFDST;STD;2.210386962587159
Thalamus;DICE;MEAN;0.7768771284533775
Thalamus;DICE;STD;0.028237946903244323
Thalamus;HDRFDST;MEAN;6.06843981877547
Thalamus;HDRFDST;STD;2.4645563831854895
WhiteMatter;DICE;MEAN;0.7804548579709958
WhiteMatter;DICE;STD;0.01381134477996116
WhiteMatter;HDRFDST;MEAN;4.15694474604962
WhiteMatter;HDRFDST;STD;0.6479277569995449
